Airport ID,Page Rank
11292,273.8808692685014
11298,211.43000609277695
11630,195.88298362506336
10551,184.61549854292414
13930,175.81660729321223
10299,139.73836008854903
10397,122.47202535512399
12889,111.89381158371154
11057,108.83748822504295
13487,107.71134631719544
12197,105.07463836034773
14107,96.61885785660122
15741,96.23160338672119
14869,94.83028599647186
13873,86.66332005219522
11433,85.82184970700152
12523,73.38156491862448
14747,72.31375740526876
13244,65.86293669512317
12266,64.435627958254
12264,58.976865533299915
13970,58.69504993963447
12184,56.489603049893255
12892,56.1373803928589
15167,55.9827189125309
12173,51.370057540683966
16091,50.145072244385936
10154,49.451485205599454
10559,48.18220399265141
10721,47.73790644269612
14771,47.23825069202189
10245,45.615795089220526
14100,45.561924377282885
10693,45.4970595685719
10423,44.67675422138753
15618,44.312217518921756
13204,44.007574714118356
14004,42.469108611231896
11618,42.25855043545452
14057,42.235746277950206
12652,40.78543978021274
13303,40.66484497986826
12222,40.35392015748744
12478,40.044830313371406
14761,39.97130554652567
13796,39.87002261589224
13461,39.805646523022574
11697,39.726356278421754
11336,39.27495008446068
14730,38.042851930860216
11259,37.607946707977106
11728,37.290146066424676
14828,36.69415502499507
10821,35.71379148584679
10304,34.99590441279767
15016,34.573787570218855
11445,34.00429092906389
14679,32.73879268130346
12953,32.72303646015196
14112,32.21976040086777
14908,30.563192339528534
11278,30.12515801816615
13467,29.769476576749543
14081,29.38462446279563
14122,29.374746004635092
13830,28.86614537444282
10140,27.7386549279397
11540,27.523792910535835
13891,26.99815347755258
10917,26.65704151181448
12191,26.084081129115148
13196,25.963750620487286
10620,25.839316759432986
13577,25.81578678186159
14893,25.531807491858796
13061,25.486441136178758
10185,24.89357987522618
14843,23.400362861860113
11924,22.065597955370922
15304,21.974455302120482
10754,21.881744353923455
11109,21.572366268023238
13232,20.740181915253235
11884,20.687027641492637
11193,20.616445543510633
14709,20.459863981970848
12451,20.077814286188712
12339,20.029330658516244
13513,19.717649237422204
11764,19.518971290276365
12441,19.415114588714772
15096,18.975323759617158
13541,18.868120414230003
10540,18.656899054225264
13342,18.51774250784919
11126,18.47425749403046
10590,17.927312830093094
11986,17.625442967030565
14831,17.363198519508394
14321,17.121179147973443
10529,16.907237625763404
11423,16.537792913231364
16832,16.253188697961665
15478,16.187509011702105
10466,16.114604684904688
